Cluster,Price,Url
affori_000,125000,https://www.immobiliare.it/annunci/84112514/
affori_000,129000,https://www.immobiliare.it/annunci/78393485/
affori_000,105000,https://www.immobiliare.it/annunci/84588504/
affori_000,149000,https://www.immobiliare.it/annunci/84367030/
affori_000,139000,https://www.immobiliare.it/annunci/81588671/
affori_000,139000,https://www.immobiliare.it/annunci/83267087/
affori_000,159000,https://www.immobiliare.it/annunci/84731274/
affori_000,115000,https://www.immobiliare.it/annunci/82023368/
affori_000,155000,https://www.immobiliare.it/annunci/83900588/
affori_001,149000,https://www.immobiliare.it/annunci/84755170/
affori_001,145000,https://www.immobiliare.it/annunci/75755124/
affori_001,125000,https://www.immobiliare.it/annunci/83378473/
affori_001,150000,https://www.immobiliare.it/annunci/84799772/
affori_001,145000,https://www.immobiliare.it/annunci/83765183/
affori_001,149000,https://www.immobiliare.it/annunci/84322172/
affori_001,150000,https://www.immobiliare.it/annunci/81731020/
affori_001,105000,https://www.immobiliare.it/annunci/81656840/
affori_001,115000,https://www.immobiliare.it/annunci/82258698/
affori_001,145000,https://www.immobiliare.it/annunci/81537821/
affori_001,125000,https://www.immobiliare.it/annunci/83428703/
affori_001,149000,https://www.immobiliare.it/annunci/84803570/
affori_001,152000,https://www.immobiliare.it/annunci/76257906/
affori_001,109000,https://www.immobiliare.it/annunci/83599971/
affori_001,129000,https://www.immobiliare.it/annunci/82877255/
affori_001,149000,https://www.immobiliare.it/annunci/81697946/
affori_100,175000,https://www.immobiliare.it/annunci/83455487/
affori_100,207000,https://www.immobiliare.it/annunci/72321460/
affori_101,148000,https://www.immobiliare.it/annunci/84336998/
affori_101,148000,https://www.immobiliare.it/annunci/83391321/
